,transaction_id,ip,device_id,device_type,tran_code,mcc,client_id,card_type,pin_inc_count,card_status,expiration_date,datetime,sum,oper_type,balance
45847,5381100,128.0.24.15,880.0,cash_in,25,5870,316136270,DEBIT,0,act,2026-03-06,2023-03-25 18:07:55,384.1,country_transfer,279702.46
45848,5388343,128.0.24.15,880.0,cash_in,451,2219,316136270,DEBIT,0,act,2026-03-06,2023-03-27 05:53:30,384.24,payment,279318.22
45849,5571939,46.0.188.150,1239.0,cash_in,25,9181,316136270,DEBIT,0,act,2026-03-06,2023-05-02 02:32:24,383.78,country_transfer,278934.44
45850,5625254,188.0.0.90,1212.0,atm,10,5870,316136270,DEBIT,0,act,2026-03-06,2023-05-09 11:20:50,383.75,add_on_acc,279318.19
45851,5686804,128.0.82.90,618.0,pos trm,-1,1150,316136270,DEBIT,1,act,2026-03-06,2023-07-09 00:43:12,383.91,err_code,279318.19
45852,5768381,128.0.82.90,618.0,pos trm,451,5870,316136270,DEBIT,0,act,2026-03-06,2023-07-15 22:15:54,384.04,payment,278934.15
45853,5933927,128.0.24.15,880.0,cash_in,451,3016,316136270,DEBIT,0,act,2026-03-06,2023-07-20 11:49:40,384.18,payment,278549.97
45854,5955384,46.0.188.30,1228.0,Portable term,451,3462,316136270,DEBIT,0,act,2026-03-06,2023-08-20 11:51:18,383.97,payment,278166.0
45855,6144057,46.0.188.30,1228.0,Portable term,451,9529,316136270,DEBIT,0,act,2026-03-06,2023-09-04 20:30:15,383.9,payment,277782.1
45856,6332659,188.0.169.195,482.0,cash_in,10,2900,316136270,DEBIT,0,act,2026-03-06,2023-09-28 19:52:42,384.04,in,278166.14
45857,6373176,194.87.0.15,567.0,cash_in,10,5533,316136270,DEBIT,0,act,2026-03-06,2023-12-15 19:52:03,383.86,in_acc,278550.0
45858,6386568,95.167.0.105,208.0,atm,451,5533,316136270,DEBIT,0,act,2026-03-06,2023-12-18 19:11:15,384.01,payment,278165.99
45859,6519347,217.26.0.60,678.0,prtbl trm,25,3462,316136270,DEBIT,0,act,2026-03-06,2023-12-23 22:54:10,383.73,diff_cntry,277782.26
45860,6538937,46.0.188.150,1239.0,cash_in,30,8608,316136270,DEBIT,0,act,2026-03-06,2024-01-05 09:44:43,383.83,transfer,277398.43
45861,6793500,128.0.24.165,895.0,ATM,20,8626,316136270,DEBIT,0,act,2026-03-06,2024-01-17 22:17:03,383.82,decrease_on_acc,277014.61
45862,7089412,128.0.82.90,618.0,pos trm,-1,2918,316136270,DEBIT,1,act,2026-03-06,2024-02-03 11:27:41,383.85,err_code,277014.61
45863,7474663,195.161.0.105,1170.0,atm,10,8608,316136270,DEBIT,0,act,2026-03-06,2024-02-18 08:35:15,384.21,in,277398.82
45864,7740006,95.167.0.240,219.0,ATM,10,5533,316136270,DEBIT,0,act,2026-03-06,2024-02-20 00:09:25,384.28,in,277783.1
45865,7837148,217.26.0.60,678.0,prtbl trm,-1,3016,316136270,DEBIT,1,act,2026-03-06,2024-04-17 07:45:34,383.94,bad,277783.1
45866,7838887,86.111.0.150,1354.0,ATM,10,3462,316136270,DEBIT,0,act,2026-03-06,2024-04-28 19:09:10,383.86,in_acc,278166.96
45867,8099539,46.0.188.150,1239.0,cash_in,30,9181,316136270,DEBIT,0,act,2026-03-06,2024-06-04 05:17:13,384.09,transfer,277782.87
45868,8209888,46.0.188.150,1239.0,cash_in,-1,5870,316136270,DEBIT,1,act,2026-03-06,2024-06-09 23:02:45,384.17,bad,277782.87
45869,8254226,46.0.143.30,812.0,atm,10,1982,316136270,DEBIT,0,act,2026-03-06,2024-06-14 01:05:03,383.69,add_on_acc,278166.56
45870,8543419,95.167.0.180,215.0,ATM,20,1150,316136270,DEBIT,0,act,2026-03-06,2024-06-14 23:43:17,384.09,from_acc,277782.47
45871,8546069,46.0.188.150,1239.0,cash_in,451,8626,316136270,DEBIT,0,act,2026-03-06,2024-06-25 22:16:23,384.02,payment,277398.45
45872,8763583,128.0.82.90,618.0,pos trm,30,9529,316136270,DEBIT,0,act,2026-03-06,2024-06-28 15:14:39,384.11,transfer,277014.34
45873,8878737,217.26.0.60,678.0,prtbl trm,451,3462,316136270,DEBIT,0,act,2026-03-06,2024-07-30 07:11:53,383.86,payment,276630.48
45874,9095454,128.0.82.90,618.0,pos trm,25,2918,316136270,DEBIT,0,act,2026-03-06,2024-08-03 19:17:15,383.95,diff_cntry,276246.53
45875,9178104,46.0.188.30,1228.0,Portable term,25,1150,316136270,DEBIT,0,act,2026-03-06,2024-08-12 20:29:35,384.08,diff_cntry,275862.45
45876,9472498,128.0.24.15,880.0,cash_in,451,2219,316136270,DEBIT,0,act,2026-03-06,2024-09-09 15:46:46,384.01,payment,275478.44
45877,9782919,46.0.188.30,1228.0,Portable term,25,3016,316136270,DEBIT,0,act,2026-03-06,2024-09-15 12:45:48,383.96,country_transfer,275094.48
45878,9785521,77.242.0.45,274.0,cash_in,30,1150,316136270,DEBIT,0,act,2026-03-06,2024-09-17 02:24:47,384.12,transfer,274710.36
45879,9812744,128.0.82.90,618.0,pos trm,25,1150,316136270,DEBIT,0,act,2026-03-06,2024-10-03 22:36:38,383.84,diff_cntry,274326.52
45880,9819769,95.167.0.105,208.0,atm,451,1982,316136270,DEBIT,0,act,2026-03-06,2024-10-09 11:55:09,383.94,payment,273942.58
45881,1025545,46.0.0.105,662.0,cash_in,25,9284,475293055,CREDIT,0,active,2029-05-01,2022-01-09 15:56:38,793.13,diff_cntry,973562.87
45882,1239670,37.0.127.75,1027.0,ATM,20,3417,475293055,CREDIT,0,active,2029-05-01,2022-02-20 06:03:12,793.01,from_acc,972769.86
45883,1247992,46.0.0.105,662.0,cash_in,-1,9032,475293055,CREDIT,1,active,2029-05-01,2022-02-21 02:04:04,793.35,bad,972769.86
45884,1427908,86.111.0.90,1350.0,port_trm,30,3376,475293055,CREDIT,0,active,2029-05-01,2022-03-11 14:02:01,793.24,transfer,971976.62
45885,2139294,88.210.0.120,350.0,atm,451,2963,475293055,CREDIT,0,active,2029-05-01,2022-03-15 22:34:26,793.19,payment,971183.43
45886,2458119,217.112.0.165,1485.0,ATM,10,7540,475293055,CREDIT,0,active,2029-05-01,2022-03-28 07:21:37,793.0,in_acc,971976.43
45887,2528042,193.31.0.195,605.0,atm,10,2963,475293055,CREDIT,0,active,2029-05-01,2022-03-29 18:26:13,793.24,in,972769.67
45888,2550591,86.111.0.90,1350.0,port_trm,30,4147,475293055,CREDIT,0,active,2029-05-01,2022-04-25 05:56:28,792.98,transfer,971976.69
45889,2939799,37.0.123.105,328.0,ATM,30,4323,475293055,CREDIT,0,active,2029-05-01,2022-05-02 10:48:45,792.72,transfer,971183.97
45890,3153437,188.191.0.210,1156.0,cash_in,10,7125,475293055,CREDIT,0,active,2029-05-01,2022-06-11 05:23:26,793.0,add_on_acc,971976.97
45891,3313516,194.87.0.240,585.0,cash_out,20,9032,475293055,CREDIT,0,active,2029-05-01,2022-07-17 09:35:00,793.19,decrease_on_acc,971183.78
45892,3666487,151.0.38.90,394.0,ATM,10,7833,475293055,CREDIT,0,active,2029-05-01,2022-07-27 09:09:08,792.89,in,971976.67
45893,3669497,46.0.0.105,662.0,cash_in,451,3376,475293055,CREDIT,0,active,2029-05-01,2022-08-01 23:53:31,792.74,payment,971183.93
45894,3991350,86.111.0.90,1350.0,port_trm,25,5015,475293055,CREDIT,0,active,2029-05-01,2022-08-16 23:17:57,792.9,country_transfer,970391.03
45895,4068196,91.107.0.75,980.0,cash_in,10,2616,475293055,CREDIT,0,active,2029-05-01,2022-08-22 00:16:45,792.97,in,971184.0
45896,4130769,86.111.0.90,1350.0,port_trm,451,2963,475293055,CREDIT,0,active,2029-05-01,2022-09-06 12:23:00,793.27,payment,970390.73
45897,4207854,88.210.0.120,350.0,atm,-1,2616,475293055,CREDIT,1,active,2029-05-01,2022-10-26 19:16:40,793.0,bad,970390.73
45898,4284209,86.111.0.90,1350.0,port_trm,30,5015,475293055,CREDIT,0,active,2029-05-01,2022-12-06 00:22:37,793.19,transfer,969597.54
45899,4391394,134.0.98.180,804.0,atm,20,1111,475293055,CREDIT,0,active,2029-05-01,2022-12-11 20:31:44,793.01,decrease_on_acc,968804.53
45900,4550489,188.191.0.120,1148.0,prtbl trm,30,3417,475293055,CREDIT,0,active,2029-05-01,2022-12-24 03:15:31,793.0,transfer,968011.53
45901,4851962,37.0.123.105,328.0,ATM,451,9032,475293055,CREDIT,0,active,2029-05-01,2022-12-30 18:39:50,792.97,payment,967218.56
45902,5041776,46.0.0.105,662.0,cash_in,10,2963,475293055,CREDIT,0,active,2029-05-01,2023-01-09 16:27:46,793.02,in_acc,968011.58
45903,5105474,134.0.98.195,806.0,cash_in,10,7833,475293055,CREDIT,0,active,2029-05-01,2023-01-18 09:48:10,793.1,in,968804.68
45904,5113880,46.0.0.105,662.0,cash_in,-1,5015,475293055,CREDIT,1,active,2029-05-01,2023-02-26 17:11:49,792.85,err,968804.68
45905,5399449,37.0.124.195,734.0,ATM,10,7125,475293055,CREDIT,0,active,2029-05-01,2023-03-28 16:05:25,792.95,in,969597.63
45906,5577038,45.154.0.195,312.0,atm,10,7540,475293055,CREDIT,0,active,2029-05-01,2023-04-01 02:26:37,793.06,in,970390.69
45907,5735717,37.0.123.105,328.0,ATM,451,5015,475293055,CREDIT,0,active,2029-05-01,2023-04-09 05:06:43,792.71,payment,969597.98
45908,5740882,128.0.82.165,627.0,atm,20,3417,475293055,CREDIT,0,active,2029-05-01,2023-04-18 10:33:53,792.95,decrease_on_acc,968805.03
45909,5958546,86.111.0.90,1350.0,port_trm,25,3417,475293055,CREDIT,0,active,2029-05-01,2023-04-28 18:09:43,792.75,country_transfer,968012.28
45910,6056230,37.0.123.105,328.0,ATM,451,7568,475293055,CREDIT,0,active,2029-05-01,2023-05-22 06:20:19,792.98,payment,967219.3
45911,6370167,128.0.94.180,1111.0,ATM,10,7568,475293055,CREDIT,0,active,2029-05-01,2023-08-17 20:06:00,793.08,in,968012.38
45912,6412797,128.0.24.0,879.0,cash_in,10,4882,475293055,CREDIT,0,active,2029-05-01,2023-09-21 11:18:04,793.01,in_acc,968805.39
45913,6619161,188.191.0.120,1148.0,prtbl trm,451,7125,475293055,CREDIT,0,active,2029-05-01,2023-10-23 20:04:32,793.15,payment,968012.24
45914,6820251,188.191.0.120,1148.0,prtbl trm,451,7540,475293055,CREDIT,0,active,2029-05-01,2023-11-10 12:09:57,793.0,payment,967219.24
45915,7026652,88.210.0.120,350.0,atm,451,2616,475293055,CREDIT,0,active,2029-05-01,2023-11-28 06:26:32,793.19,payment,966426.05
45916,7070725,88.210.0.75,346.0,atm,10,3417,475293055,CREDIT,0,active,2029-05-01,2023-12-04 18:36:47,793.07,in,967219.12
45917,7070803,88.210.0.120,350.0,atm,451,3376,475293055,CREDIT,0,active,2029-05-01,2024-02-05 18:31:10,793.18,payment,966425.94
45918,7475938,46.0.0.105,662.0,cash_in,451,7568,475293055,CREDIT,0,active,2029-05-01,2024-03-03 14:00:10,792.92,payment,965633.02
45919,7547538,88.210.0.120,350.0,atm,30,7540,475293055,CREDIT,0,active,2029-05-01,2024-03-26 10:26:46,793.15,transfer,964839.87
45920,7698392,188.0.166.75,1304.0,atm,20,4882,475293055,CREDIT,0,active,2029-05-01,2024-04-05 10:17:38,792.8,out,964047.07
45921,7714748,88.210.0.120,350.0,atm,25,6465,475293055,CREDIT,0,active,2029-05-01,2024-05-02 07:11:18,793.08,diff_cntry,963253.99
45922,8042710,188.191.0.120,1148.0,prtbl trm,451,3417,475293055,CREDIT,0,active,2029-05-01,2024-05-03 18:33:34,793.06,payment,962460.93
45923,8173742,86.111.0.90,1350.0,port_trm,30,3417,475293055,CREDIT,0,active,2029-05-01,2024-05-12 01:09:23,792.93,transfer,961668.0
45924,8356607,88.210.0.120,350.0,atm,25,7540,475293055,CREDIT,0,active,2029-05-01,2024-05-14 08:35:11,793.17,country_transfer,960874.83
45925,8816721,86.111.0.90,1350.0,port_trm,25,7125,475293055,CREDIT,0,active,2029-05-01,2024-06-16 04:47:59,793.4,diff_cntry,960081.43
45926,8868413,88.210.0.120,350.0,atm,451,8770,475293055,CREDIT,0,active,2029-05-01,2024-08-01 18:29:48,792.96,payment,959288.47
